discipline,M,rho,T,h,k,seed,num_packets,simulation_EW,theoretical_EW,absolute_error,relative_error
exhaustive,5,0.1,3.0,0.8,1,1,3040,2.3546497209233794,2.3444444444444446,0.010205276478934877,0.004352961531299236
exhaustive,5,0.1,3.0,0.8,1,2,3049,2.31328484989674,2.3444444444444446,0.03115959454770456,0.013290822318926115
exhaustive,5,0.1,3.0,0.8,1,3,3079,2.310576689067744,2.3444444444444446,0.033867755376700615,0.014445962009019219
exhaustive,5,0.2,3.0,0.8,1,1,5992,2.776026364953511,2.775,0.0010263649535109387,0.0003698612445084464
exhaustive,5,0.2,3.0,0.8,1,2,6081,2.791980774083294,2.775,0.016980774083294126,0.006119197867853739
exhaustive,5,0.2,3.0,0.8,1,3,6070,2.7790815340833204,2.775,0.004081534083320459,0.0014708230930884538
exhaustive,5,0.3,3.0,0.8,1,1,8995,3.353691520771006,3.3285714285714287,0.025120092199577115,0.007546808815323596
exhaustive,5,0.3,3.0,0.8,1,2,9156,3.3738428392981517,3.3285714285714287,0.045271410726722916,0.013600853008028343
exhaustive,5,0.3,3.0,0.8,1,3,9097,3.3804647435094055,3.3285714285714287,0.051893314937976776,0.015590266290379289
exhaustive,5,0.4,3.0,0.8,1,1,12056,4.141887627057329,4.066666666666666,0.07522096039066284,0.018496957473113813
exhaustive,5,0.4,3.0,0.8,1,2,12134,4.105312468341871,4.066666666666666,0.03864580167520426,0.009503065985705966
exhaustive,5,0.4,3.0,0.8,1,3,12160,4.186326465889058,4.066666666666666,0.11965979922239178,0.029424540792391422
exhaustive,5,0.5,3.0,0.8,1,1,15079,5.17810107093909,5.1,0.07810107093909036,0.015313935478253013
exhaustive,5,0.5,3.0,0.8,1,2,15120,5.200171110014275,5.1,0.10017111001427548,0.019641394120446173
exhaustive,5,0.5,3.0,0.8,1,3,15068,5.159192256830318,5.1,0.05919225683031826,0.011606324868689856
exhaustive,5,0.6,3.0,0.8,1,1,18032,6.7573775426384985,6.65,0.10737754263849819,0.016146998893007247
exhaustive,5,0.6,3.0,0.8,1,2,18111,6.761131075748341,6.65,0.11113107574834036,0.016711439962156443
exhaustive,5,0.6,3.0,0.8,1,3,18043,6.709998890904024,6.65,0.05999889090402366,0.009022389609627618
exhaustive,5,0.7,3.0,0.8,1,1,21067,9.309632324427744,9.23333333333333,0.07629899109441318,0.008263428638384102
exhaustive,5,0.7,3.0,0.8,1,2,21179,9.708348741317426,9.23333333333333,0.47501540798409536,0.051445712056039226
exhaustive,5,0.7,3.0,0.8,1,3,20955,9.21347382197705,9.23333333333333,0.01985951135628028,0.002150849605373316
exhaustive,10,0.1,3.0,0.8,1,1,3040,4.53627754202685,4.566666666666667,0.030389124639817133,0.006654552840835867
exhaustive,10,0.1,3.0,0.8,1,2,3050,4.549321834481078,4.566666666666667,0.017344832185589354,0.003798138434800588
exhaustive,10,0.1,3.0,0.8,1,3,3081,4.593147219958173,4.566666666666667,0.026480553291505338,0.005798661304709197
